Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2019-07-18 11:45:35,false,"Urbana Running","2.77","394","00:37:51","135","161","126","150","13:40","1:59","78","75","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:28.37","3","0.0"
Running,2019-07-16 11:29:30,false,"Champaign County Running","2.93","423","00:33:13","147","163","144","160","11:21","6:25","39","39","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:45.72","3","0.0"
Running,2019-07-12 12:02:19,false,"Champaign County Running","2.97","474","00:43:22","141","183","132","204","14:36","2:10","49","67","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:36.17","3","0.0"
Running,2019-07-03 18:14:46,false,"Bloomington Running","0.24","24","00:04:11.6","95","148","104","106","17:12","0:25","--","--","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-06-28 11:43:13,false,"Urbana Running","2.71","441","00:35:24","148","168","132","212","13:05","0:25","66","75","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:28.19","3","0.0"
Walking,2019-06-26 20:00:53,false,"Bloomington Walking","1.61","193","00:31:52","77","106","100","122","19:48","11:31","36","37","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:42.99","2","0.0"
Walking,2019-06-25 19:54:53,false,"Bloomington Walking","1.09","147","00:25:47","86","114","100","124","23:34","3:11","20","21","0.69","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:21.38","2","0.0"
Running,2019-06-25 11:42:40,false,"Urbana Running","1.96","269","00:24:41","132","150","134","150","12:36","0:25","40","43","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:06.12","2","0.0"
Running,2019-06-24 17:38:12,false,"Bloomington Running","2.39","329","00:32:50","117","152","126","212","13:44","9:13","45","48","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:51.46","3","0.0"
Running,2019-06-17 17:03:25,false,"Bloomington Running","2.41","338","00:53:15","95","149","126","210","22:07","7:54","39","39","0.58","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:40.43","3","0.0"
Walking,2019-06-15 19:52:25,false,"Bloomington Walking","1.80","252","00:35:44","94","149","100","122","19:49","1:15","42","44","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:48.91","2","0.0"
Walking,2019-06-13 19:21:18,false,"Bloomington Walking","2.27","307","00:51:31","90","112","100","154","22:42","3:31","36","36","0.70","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:30.01","3","0.0"
Running,2019-06-13 12:21:44,false,"Bloomington Running","1.61","260","00:21:07","143","203","130","208","13:08","6:00","27","26","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:55.14","2","0.0"
Running,2019-06-09 11:45:33,false,"Bloomington Running","2.16","283","00:32:22","109","151","118","150","15:00","3:03","37","34","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:23.05","3","0.0"
Running,2019-06-06 11:43:19,false,"Champaign Running","2.22","295","00:31:12","119","159","120","218","14:03","3:37","58","59","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:42.65","3","0.0"
